Datetime,solar_mw,wind-direction,wind-speed,humidity,average-wind-speed-(period),average-pressure-(period),temperature
2020-08-03 00:00:00,11385.0,27.0,7.5,75.0,8.0,29.82,69.0
2020-08-02 23:00:00,12390.0,27.0,7.5,77.0,5.0,29.85,69.0
2020-08-02 22:00:00,13312.0,27.0,7.5,70.0,0.0,29.89,69.0
2020-08-02 21:00:00,13832.0,27.0,7.5,33.0,0.0,29.91,69.0
2020-08-02 20:00:00,14038.0,27.0,7.5,21.0,3.0,29.89,69.0
2020-08-02 19:00:00,14453.0,27.0,7.5,20.0,23.0,29.85,69.0
2020-08-02 18:00:00,14898.0,27.0,7.5,36.0,15.0,29.83,69.0
2020-08-02 17:00:00,14924.0,27.0,7.5,49.0,6.0,29.86,69.0
2020-08-02 16:00:00,14791.0,27.0,6.8,67.0,6.0,29.86,72.0
2020-08-02 15:00:00,14941.0,28.0,6.8,49.0,0.0,29.87,72.0
2020-08-02 14:00:00,15244.0,28.0,6.8,54.0,0.0,29.9,72.0
2020-08-02 13:00:00,15191.0,28.0,6.8,64.0,0.0,29.92,72.0
2020-08-02 12:00:00,14666.0,28.0,6.8,23.0,9.0,29.88,72.0
2020-08-02 11:00:00,13966.0,28.0,6.8,30.0,18.0,29.84,72.0
2020-08-02 10:00:00,13232.0,28.0,6.8,65.0,11.0,29.84,72.0
2020-08-02 09:00:00,12555.0,28.0,6.8,75.0,5.0,29.85,72.0
2020-08-02 08:00:00,11850.0,28.0,7.9,72.0,6.0,29.84,73.0
2020-08-02 07:00:00,11181.0,28.0,7.9,78.0,6.0,29.86,73.0
2020-08-02 06:00:00,10490.0,28.0,7.9,63.0,0.0,29.88,73.0
2020-08-02 05:00:00,10058.0,28.0,7.9,69.0,3.0,29.88,73.0
2020-08-02 04:00:00,10082.0,28.0,7.9,33.0,10.0,29.84,73.0
2020-08-02 03:00:00,10353.0,28.0,7.9,27.0,20.0,29.81,73.0
2020-08-02 02:00:00,10830.0,28.0,7.9,53.0,14.0,29.81,73.0
2020-08-02 01:00:00,11457.0,28.0,7.9,70.0,6.0,29.85,73.0
2020-08-02 00:00:00,12362.0,31.0,6.9,73.0,0.0,29.83,76.0
2020-08-01 23:00:00,13569.0,30.0,6.9,78.0,6.0,29.82,76.0
2020-08-01 22:00:00,14687.0,30.0,6.9,70.0,0.0,29.84,76.0
2020-08-01 21:00:00,15461.0,30.0,6.9,64.0,3.0,29.85,76.0
2020-08-01 20:00:00,15973.0,30.0,6.9,62.0,6.0,29.79,76.0
2020-08-01 19:00:00,16638.0,30.0,6.9,30.0,15.0,29.75,76.0
2020-08-01 18:00:00,17131.0,30.0,6.9,27.0,17.0,29.74,76.0
2020-08-01 17:00:00,17208.0,30.0,6.9,33.0,5.0,29.77,76.0
2020-08-01 16:00:00,16713.0,30.0,8.5,53.0,3.0,29.77,77.0
2020-08-01 15:00:00,16345.0,26.0,8.5,70.0,7.0,29.76,77.0
2020-08-01 14:00:00,15987.0,26.0,8.5,61.0,0.0,29.8,77.0
2020-08-01 13:00:00,15360.0,26.0,8.5,64.0,3.0,29.82,77.0
2020-08-01 12:00:00,14639.0,26.0,8.5,49.0,5.0,29.78,77.0
2020-08-01 11:00:00,13973.0,26.0,8.5,19.0,22.0,29.75,77.0
2020-08-01 10:00:00,13080.0,26.0,8.5,51.0,15.0,29.76,77.0
2020-08-01 09:00:00,12453.0,26.0,8.5,37.0,8.0,29.79,77.0
2020-08-01 08:00:00,11840.0,26.0,8.6,57.0,6.0,29.78,75.0
2020-08-01 07:00:00,11177.0,27.0,8.6,73.0,3.0,29.78,75.0
2020-08-01 06:00:00,10530.0,27.0,8.6,52.0,3.0,29.81,75.0
2020-08-01 05:00:00,10033.0,27.0,8.6,66.0,3.0,29.82,75.0
2020-08-01 04:00:00,9944.0,27.0,8.6,29.0,16.0,29.79,75.0
2020-08-01 03:00:00,10115.0,27.0,8.6,39.0,18.0,29.75,75.0
2020-08-01 02:00:00,10398.0,27.0,8.6,57.0,14.0,29.74,75.0
2020-08-01 01:00:00,10947.0,27.0,8.6,65.0,8.0,29.76,75.0
2020-08-01 00:00:00,11712.0,28.0,14.9,81.0,8.0,29.76,62.0
2020-07-31 23:00:00,12787.0,30.0,14.9,87.0,7.0,29.74,62.0
2020-07-31 22:00:00,13766.0,30.0,14.9,84.0,8.0,29.76,62.0
2020-07-31 21:00:00,14340.0,30.0,14.9,68.0,14.0,29.77,62.0
2020-07-31 20:00:00,14647.0,30.0,14.9,61.0,22.0,29.73,62.0
2020-07-31 19:00:00,15128.0,30.0,14.9,70.0,25.0,29.71,62.0
2020-07-31 18:00:00,15293.0,30.0,14.9,87.0,22.0,29.73,62.0
2020-07-31 17:00:00,15142.0,30.0,14.9,90.0,13.0,29.75,62.0
2020-07-31 16:00:00,14794.0,30.0,5.8,90.0,7.0,29.76,64.0
2020-07-31 15:00:00,14226.0,30.0,5.8,87.0,5.0,29.75,64.0
2020-07-31 14:00:00,13756.0,30.0,5.8,87.0,0.0,29.77,64.0
2020-07-31 13:00:00,13230.0,30.0,5.8,73.0,5.0,29.78,64.0
2020-07-31 12:00:00,12903.0,30.0,5.8,59.0,10.0,29.75,64.0
2020-07-31 11:00:00,12499.0,30.0,5.8,61.0,14.0,29.7,64.0
2020-07-31 10:00:00,12053.0,30.0,5.8,73.0,6.0,29.72,64.0
2020-07-31 09:00:00,11588.0,30.0,5.8,87.0,6.0,29.75,64.0
2020-07-31 08:00:00,11099.0,30.0,10.5,84.0,7.0,29.76,63.0
2020-07-31 07:00:00,10431.0,31.0,10.5,78.0,7.0,29.75,63.0
2020-07-31 06:00:00,9762.0,31.0,10.5,81.0,8.0,29.78,63.0
